case;alpha,L,s;avgP;meanT
1;89.64072225358419,0.007412772577661366,0.012633792074444143;0.00033725051000000006;15.381711999999998
2;43.696851780857195,0.006558847051508432,0.011143581117196695;0.0010758468;14.795836
3;49.20071312793596,0.004240377862633876,0.01853086943118923;0.00055544921;15.134289999999998
4;70.76416376911625,0.0033470180139273616,0.015474041930041007;0.00033204735;15.411301
5;69.6665518624085,0.0015107774818546053,0.017697579261242876;0.00028012500999999995;15.493042999999997
6;68.1217292137721,0.005451791765462419,0.017894947086526336;0.00043076429;15.279577999999997
7;26.36545032241386,0.007133246897966469,0.014182494780472458;0.0032540145;14.106310000000002
8;33.241362068370385,0.0023918866683888037,0.017858077497029758;0.00043774353000000004;15.254995
9;86.22489398175101,0.006603320640476685,0.010724094230417905;0.00032539107;15.406917000000002
10;72.95047909827208,0.0032572283671776976,0.014359213361383905;0.00031861843;15.431397999999998
11;86.22489398175101,0.006603320640476685,0.018561679813305327;0.00034397671;15.373068
12;49.20071312793596,0.004240377862633876,0.01070243137104649;0.00050862133;15.19089
13;75.04132887627641,0.0032572283671776976,0.014378819029386184;0.00031159988;15.441002999999998
14;70.76416376911625,0.0033470180139273616,0.015454436262038728;0.00033205192;15.411262000000002
15;70.76416376911625,0.0033470180139273616,0.015624502995956045;0.00033214144;15.410824000000002
16;65.2947732136471,0.0015107774818546053,0.017697579261242876;0.00028722917000000004;15.481048000000001
17;25.730645506595152,0.007133246897966469,0.014186627624341;0.0035327351;14.056675000000002
18;70.30132320308269,0.0017027548938859092,0.01688655774184503;0.00028309679000000003;15.488304
19;72.95047909827208,0.0032740968555022756,0.014359213361383905;0.00031938054;15.430302000000001
20;26.36545032241386,0.0069913016850095475,0.014182494780472458;0.0028530547;14.163025999999999
21;69.6665518624085,0.0021553106167324014,0.017724192698991312;0.00029997780000000005;15.459789999999998
22;45.63343386281528,0.0023918866683888037,0.017858077497029758;0.00039375795999999996;15.314992999999998
23;26.36545032241386,0.007133246897966469,0.014182494780472458;0.0032540145;14.106310000000002
24;26.36545032241386,0.007133246897966469,0.014660575548430081;0.0031790987;14.118052
